trial,prompted,detected,correct,confidence
1,swipe_left,push,False,0.9996
2,swipe_up,pull,False,1.0
3,circle_ccw,pull,False,0.9999
4,wave,circle_ccw,False,1.0
5,swipe_left,wave,False,1.0
6,swipe_down,pull,False,1.0
7,pull,push,False,0.9997
8,pull,swipe_right,False,1.0
9,swipe_down,pull,False,1.0
10,swipe_up,push,False,1.0
11,pull,swipe_right,False,1.0
12,wave,push,False,0.9999
13,swipe_left,pull,False,0.998
14,swipe_up,push,False,0.9043
15,wave,wave,True,0.7415
16,pull,wave,False,1.0
17,circle_ccw,circle_ccw,True,0.9999
18,circle_ccw,pull,False,0.996
19,push,pull,False,0.9984
20,circle_cw,pull,False,1.0
21,swipe_down,wave,False,0.9111
22,pull,push,False,1.0
23,circle_cw,circle_cw,True,0.9986
24,swipe_up,pull,False,0.9999
25,wave,wave,True,1.0
26,pull,wave,False,1.0
27,wave,swipe_left,False,0.8363
28,circle_ccw,swipe_up,False,0.9907
29,push,pull,False,1.0
30,swipe_up,circle_ccw,False,0.9994
31,swipe_left,circle_ccw,False,1.0
32,circle_cw,push,False,1.0
33,circle_cw,circle_ccw,False,1.0
34,pull,circle_ccw,False,1.0
35,circle_ccw,push,False,1.0
36,swipe_left,circle_ccw,False,1.0
37,wave,pull,False,0.9205
38,swipe_right,circle_ccw,False,1.0
39,circle_ccw,circle_ccw,True,1.0
40,circle_cw,circle_cw,True,1.0
41,swipe_left,push,False,0.565
42,push,pull,False,1.0
43,swipe_left,push,False,0.9336
44,push,circle_ccw,False,1.0
45,push,pull,False,1.0
46,push,circle_ccw,False,1.0
47,swipe_down,circle_ccw,False,1.0
48,swipe_down,circle_cw,False,1.0
49,circle_cw,circle_ccw,False,1.0
50,swipe_up,circle_ccw,False,1.0
51,swipe_left,pull,False,0.6615
52,swipe_down,circle_ccw,False,1.0
53,swipe_up,swipe_up,True,0.9972
54,swipe_up,circle_ccw,False,1.0
55,circle_ccw,push,False,1.0
56,push,swipe_left,False,0.9997
57,circle_cw,circle_ccw,False,1.0
58,swipe_right,swipe_left,False,1.0
59,push,circle_cw,False,1.0
60,swipe_down,circle_ccw,False,1.0
61,pull,circle_ccw,False,1.0
62,swipe_up,pull,False,0.9504
63,circle_ccw,circle_ccw,True,1.0
64,wave,circle_ccw,False,0.956
65,pull,circle_ccw,False,1.0
66,circle_ccw,circle_ccw,True,0.9993
67,swipe_right,circle_ccw,False,0.828
68,swipe_right,circle_ccw,False,1.0
69,circle_ccw,circle_ccw,True,0.9995
70,swipe_right,circle_ccw,False,1.0
71,swipe_left,circle_ccw,False,1.0
72,swipe_left,push,False,1.0
73,push,circle_ccw,False,0.9998
74,swipe_right,swipe_up,False,0.8437
75,push,push,True,1.0
76,swipe_down,circle_ccw,False,0.9239
77,circle_cw,circle_ccw,False,0.9992
78,pull,swipe_left,False,0.9669
79,swipe_right,pull,False,1.0
80,swipe_down,wave,False,0.9999
81,wave,circle_cw,False,0.9945
82,swipe_up,swipe_left,False,0.8712
83,circle_cw,circle_ccw,False,1.0
84,swipe_right,circle_ccw,False,0.8981
85,swipe_right,circle_ccw,False,1.0
86,wave,circle_ccw,False,0.9975
87,wave,circle_cw,False,1.0
88,swipe_down,circle_ccw,False,1.0
89,circle_cw,circle_ccw,False,0.9925
90,swipe_right,circle_cw,False,1.0
