trial,prompted,detected,correct,confidence
1,swipe_right,swipe_left,False,0.7382
2,swipe_up,swipe_up,True,0.9073
3,swipe_down,swipe_down,True,0.9157
4,push,swipe_up,False,0.9162
5,swipe_left,swipe_down,False,0.6194
6,swipe_right,swipe_down,False,0.9153
7,swipe_left,swipe_down,False,0.4921
8,wave,wave,True,0.9162
9,push,push,True,0.9152
10,swipe_left,wave,False,0.9009
11,circle_cw,circle_cw,True,0.4565
12,swipe_right,swipe_up,False,0.9123
13,circle_cw,circle_ccw,False,0.9046
14,wave,wave,True,0.9163
15,swipe_up,swipe_up,True,0.9155
16,swipe_right,swipe_right,True,0.9137
17,swipe_left,swipe_left,True,0.9154
18,wave,push,False,0.8824
19,swipe_right,swipe_up,False,0.8875
20,swipe_down,swipe_right,False,0.514
21,swipe_up,swipe_right,False,0.9066
22,circle_cw,push,False,0.6786
23,wave,wave,True,0.917
24,push,push,True,0.9065
25,circle_cw,swipe_left,False,0.5859
26,circle_ccw,swipe_up,False,0.9119
27,swipe_left,swipe_left,True,0.9147
28,circle_ccw,swipe_down,False,0.8976
29,push,push,True,0.9156
30,swipe_down,swipe_down,True,0.916
31,swipe_down,pull,False,0.9163
32,circle_ccw,circle_cw,False,0.7837
33,push,push,True,0.916
34,swipe_right,push,False,0.9168
35,push,swipe_left,False,0.9079
36,wave,wave,True,0.9006
37,swipe_down,swipe_down,True,0.9143
38,swipe_up,push,False,0.902
39,swipe_left,swipe_left,True,0.8959
40,push,push,True,0.9152
41,swipe_up,swipe_left,False,0.9087
42,circle_ccw,swipe_up,False,0.7722
43,circle_cw,pull,False,0.9101
44,swipe_left,swipe_left,True,0.9154
45,wave,wave,True,0.9165
46,push,push,True,0.8841
47,pull,push,False,0.9096
48,swipe_down,circle_cw,False,0.6898
49,swipe_right,swipe_right,True,0.9084
50,pull,pull,True,0.906
51,swipe_right,wave,False,0.8721
52,pull,wave,False,0.9009
53,circle_cw,pull,False,0.9118
54,circle_ccw,swipe_up,False,0.9172
55,swipe_down,swipe_up,False,0.8537
56,swipe_up,swipe_right,False,0.8912
57,push,swipe_up,False,0.9117
58,pull,pull,True,0.9143
59,swipe_down,swipe_right,False,0.9014
60,pull,pull,True,0.9161
61,swipe_down,circle_cw,False,0.7942
62,push,push,True,0.9155
63,pull,pull,True,0.8959
64,wave,wave,True,0.9168
65,pull,pull,True,0.915
66,circle_ccw,swipe_up,False,0.8946
67,circle_cw,swipe_up,False,0.8406
68,swipe_right,swipe_right,True,0.9126
69,wave,wave,True,0.9168
70,swipe_up,swipe_up,True,0.9155
71,circle_ccw,swipe_up,False,0.7536
72,circle_cw,swipe_down,False,0.8985
73,swipe_down,circle_cw,False,0.8905
74,wave,wave,True,0.9173
75,circle_cw,swipe_up,False,0.5883
76,pull,pull,True,0.8335
77,circle_ccw,swipe_up,False,0.8835
78,swipe_up,swipe_left,False,0.8479
79,swipe_left,wave,False,0.9161
80,swipe_up,swipe_right,False,0.9084
81,circle_ccw,swipe_up,False,0.7669
82,circle_cw,push,False,0.9144
83,pull,pull,True,0.916
84,wave,wave,True,0.9166
85,swipe_right,wave,False,0.9169
86,swipe_left,wave,False,0.9174
87,circle_ccw,swipe_right,False,0.9182
88,pull,pull,True,0.8517
89,swipe_up,swipe_right,False,0.9117
90,swipe_left,swipe_up,False,0.8859
